SECVENTA,IMPORTANTA,MODUL,PARAGRAF
trade,0,1,40
system,0,1,40
spur,0,1,41
climatefriendly,0,1,41
innovation,0,1,41
ensure,0,1,42
fairnes,0,1,42
costeffectivenes,0,1,42
july,0,1,43
2021,0,1,43
european,0,1,43
climate,0,1,43
climate,0,1,45
framework,0,1,45
action,0,1,45
take,0,1,45
eu,0,1,45
member,0,1,45
state,0,1,45
progressively,0,1,45
also,0,1,46
june,0,1,46
2021,0,1,46
council,0,1,46
approve,0,1,46
conclusion,0,1,46
endorse,0,1,46
eu,0,1,46
strategy,0,1,46
adaptation,0,1,46
climate,0,1,46
change,0,1,46
present,0,1,46
european,0,1,46
commission,0,1,46
strategy,0,1,46
outline,0,1,46
longterm,0,1,46
vision,0,1,46
eu,0,1,46
become,0,1,46
2050,0,1,46
climateresilient,0,1,46
society,0,1,46
fully,0,1,46
adapt,0,1,46
unavoidable,0,1,46
impact,0,1,46
climate,0,1,46
change,0,1,46
another,0,1,47
part,0,1,47
eu,0,1,47
work,0,1,47
toward,0,1,47
climate,0,1,47
neutrality,0,1,47
package,0,1,47
accordance,0,1,47
eu,0,1,47
package,0,1,47
action,0,1,8
package,0,1,52
include,0,1,52
rule,0,1,52
energy,0,1,12
transport,0,1,54
emission,0,1,55
trade,0,1,55
reduction,0,1,55
land,0,1,56
forestry,0,1,56
shift,0,1,57
green,0,1,57
life,0,1,57
crucial,0,1,57
addres,0,1,57
climate,0,1,57
emergency,0,1,57
reduce,0,1,57
dependency,0,1,57
emission,0,1,58
rise,0,1,58
some,0,1,58
sector,0,1,58
such,0,1,58
international,0,1,58
aviation,0,1,58
transport,0,1,58
other,0,1,58
sector,0,1,58
finance,0,1,59
eu,0,1,59
climate,0,1,59
transition,0,1,59
shift,0,1,60
toward,0,1,60
climatefriendly,0,1,60
economy,0,1,60
will,0,1,60
require,0,1,60
major,0,1,60
public,0,1,60
private,0,1,60
investment,0,1,60
ensure,0,1,62
climate,0,1,62
transition,0,1,62
fair,0,1,62
eu,0,1,62
introduce,0,1,62
just,0,1,62
transition,0,1,62
mechanism,0,1,62
provide,0,1,62
financial,0,1,62
technical,0,1,62
support,0,1,62
mobilize,0,1,62
eu,0,1,63
expenditure,0,1,63
2027,0,1,63
will,0,1,63
climaterelated,0,1,63
project,0,1,63
shape,0,1,65
global,0,1,65
action,0,1,65
eu,0,1,66
effort,0,1,66
fight,0,1,66
climate,0,1,66
change,0,1,66
line,0,1,66
with,0,1,66
commitment,0,1,66
make,0,1,66
eu,0,1,66
member,0,1,66
pari,0,1,66
agreement,0,1,66
bilateral,0,1,66
relation,0,1,66
accelerate,0,1,66
action,0,1,66
limit,0,1,66
global,0,1,66
warm,0,1,66
eu,0,1,67
together,0,1,67
with,0,1,67
member,0,1,67
state,0,1,67
provider,0,1,67
climate,0,1,67
finance,0,1,67
world,0,1,67
fund,0,1,67
provide,0,1,67
support,0,1,67
climaterelated,0,1,67
action,0,1,67
develop,0,1,67
country,0,1,67
facilitate,0,1,67
their,0,1,67
green,0,1,67
transition,0,1,67
tackle,0,1,67
adverse,0,1,67
effect,0,1,67
climate,0,1,67
change,0,1,67
2030,0,1,69
climate,0,1,69
energy,0,1,69
framework,0,1,69
include,0,1,38
euwide,0,1,69
target,0,1,69
policy,0,1,69
objective,0,1,69
period,0,1,69
from,0,1,69
2021,0,1,69
2030,0,1,69
percent,0,1,70
improve,0,1,70
energy,0,1,70
efficiency,0,1,70
percent,0,1,70
along,0,1,70
same,0,1,70
line,0,1,70
2030,0,1,70
framework,0,1,70
include,0,1,70
least,0,1,70
percent,0,1,70
target,0,1,70
renewable,0,1,70
energy,0,1,70
target,0,1,70
enhance,0,1,70
energy,0,1,70
efficiency,0,1,70
least,0,1,70
percent,0,1,70
greenhouse,0,1,71
emission,0,1,71
raise,0,1,71
ambition,0,1,71
policy,0,1,72
reduce,0,1,72
greenhouse,0,1,72
emission,0,1,72
least,0,1,72
2030,0,1,72
compare,0,1,72
1990,0,1,72
level,0,1,72
will,0,1,73
enable,0,1,73
eu,0,1,73
become,0,1,73
first,0,1,73
climateneutral,0,1,73
continent,0,1,73
2050,0,1,5
proposal,0,1,74
refer,0,1,74
energy,0,1,70
efficiency,0,1,70
reduce,0,1,76
energy,0,1,76
consumption,0,1,76
achieve,0,1,76
energy,0,1,76
save,0,1,76
essential,0,1,76
deliver,0,1,76
european,0,1,76
green,0,1,76
deal,0,1,76
renewable,0,1,70
energy,0,1,70
energy,0,1,78
from,0,1,78
renewable,0,1,78
source,0,1,78
reduce,0,1,78
greenhouse,0,1,78
emission,0,1,78
dependence,0,1,78
import,0,1,78
market,0,1,79
consumer,0,1,79
eu,0,1,80
integrate,0,1,80
internal,0,1,80
energy,0,1,80
market,0,1,80
help,0,1,80
keep,0,1,80
energy,0,1,80
affordable,0,1,80
guarantee,0,1,80
secure,0,1,80
supply,0,1,80
energy,0,1,81
strategy,0,1,81
eu,0,1,82
strategy,0,1,82
secure,0,1,82
competitive,0,1,82
sustainable,0,1,82
energy,0,1,82
coal,0,1,83
ensure,0,1,84
efficient,0,1,84
responsible,0,1,84
fossil,0,1,84
fuel,0,1,84
infrastructure,0,1,85
energy,0,1,87
security,0,1,87
eu,0,1,88
work,0,1,88
ensure,0,1,88
energy,0,1,88
supply,0,1,88
from,0,1,88
abroad,0,1,88
secure,0,1,88
affordable,0,1,88
research,0,1,89
technology,0,1,89
fund,0,1,91
finance,0,1,91
program,0,1,92
call,0,1,92
tender,0,1,92
privatepublic,0,1,92
initiative,0,1,92
finance,0,1,92
energy,0,1,92
project,0,1,92
international,0,1,93
cooperation,0,1,93
eu,0,1,94
energy,0,1,94
cooperation,0,1,94
with,0,1,94
country,0,1,94
around,0,1,94
world,0,1,94
international,0,1,94
institution,0,1,94
nuclear,0,1,95
energy,0,1,95
eu,0,1,96
ensure,0,1,96
safe,0,1,96
secure,0,1,96
civil,0,1,96
nuclear,0,1,96
energy,0,1,96
generate,0,1,96
almost,0,1,96
electricity,0,1,96
energy,0,1,97
system,0,1,97
integration,0,1,97
main,0,1,99
egal,0,1,37
nstrument,0,1,99
2030,0,1,99
ramework,0,1,45
plan,0,1,47
governance,0,1,102
regulation,0,1,102
require,0,1,102
member,0,1,102
state,0,1,102
prepare,0,1,102
plan,0,1,102
national,0,1,102
energy,0,1,102
climate,0,1,102
plan,0,1,102
necp,0,1,103
core,0,1,103
element,0,1,103
2030,0,1,103
framework,0,1,103
year,0,1,103
update,0,1,103
fiveyear,0,1,103
interval,0,1,103
report,0,1,100
governance,0,1,105
regulation,0,1,105
also,0,1,105
serve,0,1,105
comply,0,1,105
with,0,1,105
report,0,1,105
obligation,0,1,105
under,0,1,105
pari,0,1,105
agreement,0,1,105
start,0,1,106
from,0,1,106
2023,0,1,106
every,0,1,106
year,0,1,106
thereafter,0,1,106
member,0,1,106
state,0,1,106
must,0,1,106
prepare,0,1,106
integrate,0,1,106
national,0,1,106
energy,0,1,106
climate,0,1,106
progress,0,1,106
report,0,1,106
biennial,0,1,106
progress,0,1,106
report,0,1,106
these,0,1,106
cover,0,1,106
five,0,1,106
dimension,0,1,106
energy,0,1,106
union,0,1,106
describe,0,1,106
progress,0,1,106
necp,0,1,106
implementation,0,1,106
addition,0,1,106
each,0,1,106
member,0,1,106
state,0,1,106
must,0,1,106
submit,0,1,106
annual,0,1,106
greenhouse,0,1,106
inventory,0,1,106
report,0,1,106
commission,0,1,106
unfccc,0,1,106
unite,0,1,106
nation,0,1,106
framework,0,1,106
convention,0,1,106
climate,0,1,106
change,0,1,106
secretariat,0,1,106
governance,0,1,106
regulation,0,1,106
include,0,1,106
variou,0,1,106
provision,0,1,106
national,0,1,106
unionlevel,0,1,106
datum,0,1,106
collection,0,1,106
report,0,1,106
system,0,1,106
well,0,1,106
registry,0,1,106
account,0,1,106
nationally,0,1,106
determine,0,1,106
contribution,0,1,106
international,0,1,106
carbon,0,1,106
credit,0,1,106
monitor,0,1,100
governance,0,1,108
regulation,0,1,108
create,0,1,108
monitor,0,1,108
system,0,1,108
track,0,1,108
implementation,0,1,108
2030,0,1,108
framework,0,1,108
associate,0,1,108
target,0,1,108
eu,0,1,108
member,0,1,108
state,0,1,108
level,0,1,108
system,0,1,108
rely,0,1,108
ante,0,1,108
post,0,1,108
monitor,0,1,108
commission,0,1,108
public,0,1,109
participation,0,1,109
climate,0,1,111
component,0,1,111
2030,0,1,111
framework,0,1,111
whole,0,1,112
precise,0,1,112
limit,0,1,112
greenhouse,0,1,112
emission,0,1,112
create,0,1,112
price,0,1,112
them,0,1,112
cover,0,1,112
sector,0,1,112
namely,0,1,112
power,0,1,112
generation,0,1,112
iron,0,1,112
steel,0,1,112
chemical,0,1,112
refinery,0,1,112
cement,0,1,112
other,0,1,112
build,0,1,112
material,0,1,112
well,0,1,112
pulp,0,1,112
paper,0,1,112
addition,0,1,112
apply,0,1,112
aviation,0,1,112
emission,0,1,112
participate,0,1,112
country,0,1,112
energy,0,1,113
component,0,1,113
2030,0,1,113
framework,0,1,113
neutrality,0,1,5
other,0,1,119
currently,0,1,119
international,0,1,119
community,0,1,119
confront,0,1,119
with,0,1,119
develop,0,1,119
costeffective,0,1,119
sustainable,0,1,119
method,0,1,119
minimize,0,1,119
emission,0,1,119
promote,0,1,119
sequestration,0,1,119
global,0,1,119
community,0,1,119
move,0,1,119
toward,0,1,119
neutrality,0,1,119
there,0,1,119
need,0,1,119
revise,0,1,119
understand,0,1,119
current,0,1,119
state,0,1,119
flow,0,1,119
total,0,1,119
environment,0,1,119
therefore,0,1,119
become,0,1,119
imperative,0,1,119
switch,0,1,119
from,0,1,119
nonrenewable,0,1,119
renewable,0,1,119
sustain,0,1,119
current,0,1,119
production,0,1,119
system,0,1,119
addres,0,1,119
climate,0,1,119
change,0,1,119
issue,0,1,119
protect,0,1,119
human,0,1,119
health,0,1,119
environment,0,1,119
technology,0,1,122
renewable,0,1,122
energy,0,1,122
production,0,1,122
solar,0,1,123
energy,0,1,123
their,0,1,124
power,0,1,124
conversion,0,1,124
efficiency,0,1,124
have,0,1,124
reach,0,1,124
more,0,1,124
than,0,1,124
necessary,0,1,124
improve,0,1,124
efficiency,0,1,124
stability,0,1,124
largearea,0,1,124
solar,0,1,124
cell,0,1,124
reduce,0,1,124
product,0,1,124
manufacture,0,1,124
decarbonization,0,1,124
cost,0,1,124
beside,0,1,125
photovoltaic,0,1,125
solar,0,1,125
thermal,0,1,125
technology,0,1,125
some,0,1,125
strategy,0,1,125
convert,0,1,125
solar,0,1,125
radiation,0,1,125
into,0,1,125
feasible,0,1,125
largescale,0,1,125
utilization,0,1,125
storage,0,1,125
solar,0,1,125
energy,0,1,125
toward,0,1,125
energy,0,1,125
decarbonization,0,1,125
instance,0,1,125
great,0,1,125
effort,0,1,125
have,0,1,125
make,0,1,125
solar,0,1,125
innovation,0,1,128
100180,0,1,128
november,0,1,128
2021,0,1,128
wind,0,1,130
energy,0,1,130
ocean,0,1,132
energy,0,1,132
ocean,0,1,133
energy,0,1,133
reserve,0,1,133
enormou,0,1,133
globally,0,1,133
enough,0,1,133
power,0,1,133
entire,0,1,133
world,0,1,133
technology,0,1,133
harvest,0,1,133
tidal,0,1,133
wave,0,1,133
energy,0,1,133
verge,0,1,133
commercialization,0,1,133
technology,0,1,133
harvest,0,1,133
ocean,0,1,133
current,0,1,133
energy,0,1,133
thermal,0,1,133
energy,0,1,133
osmotic,0,1,133
energy,0,1,133
still,0,1,133
their,0,1,133
bioenergy,0,1,134
variou,0,1,135
process,0,1,135
convert,0,1,135
biomas,0,1,135
into,0,1,135
energy,0,1,135
include,0,1,135
follow,0,1,135
thermochemical,0,1,135
conversion,0,1,135
biomas,0,1,135
include,0,1,135
gasification,0,1,135
pyrolysi,0,1,135
combustion,0,1,135
chemical,0,1,135
conversion,0,1,135
convert,0,1,135
vegetable,0,1,135
animal,0,1,135
into,0,1,135
fatty,0,1,135
acid,0,1,135
ester,0,1,135
through,0,1,135
esterification,0,1,135
orand,0,1,135
transesterification,0,1,135
produce,0,1,135
biodiesel,0,1,135
biochemical,0,1,135
conversion,0,1,135
convert,0,1,135
biomas,0,1,135
into,0,1,135
liquid,0,1,135
fuel,0,1,135
alcohol,0,1,135
alkane,0,1,135
natural,0,1,135
hydrogen,0,1,135
methane,0,1,135
different,0,1,135
type,0,1,135
bioproduct,0,1,135
energy,0,1,12
nuclear,0,1,95
energy,0,1,95
geothermal,0,1,141
energy,0,1,141
energy,0,1,143
storage,0,1,143
different,0,1,145
energy,0,1,145
storage,0,1,145
technology,0,1,145
have,0,1,145
different,0,1,145
reliability,0,1,145
cost,0,1,145
efficiency,0,1,145
scale,0,1,145
safety,0,1,145
core,0,1,147
technology,0,1,147
renewable,0,1,147
energy,0,1,147
production,0,1,147
perspective,0,1,128
achieve,0,1,128
cneutrality,0,1,128
innovation,0,1,128
100180,0,1,128
november,0,1,128
2021,0,1,128
technology,0,1,149
enhance,0,1,149
carbon,0,1,149
sink,0,1,149
global,0,1,149
ecosystem,0,1,119
influence,0,1,151
atmospheric,0,1,151
composition,0,1,151
climate,0,1,151
zero,0,1,14
waste,0,1,14
biochar,0,1,14
carbonneutral,0,1,14
tool,0,1,14
very,0,1,155
important,0,1,155
reduce,0,1,155
solid,0,1,155
waste,0,1,155
under,0,1,156
limit,0,1,156
oxygen,0,1,156
oxygenfree,0,1,156
condition,0,1,156
technology,0,1,118
capture,0,1,158
utilization,0,1,158
storage,0,1,158
conversion,0,1,160
utilization,0,1,160
transportation,0,1,160
storage,0,1,160
underground,0,1,160
with,0,1,160
long,0,1,160
term,0,1,160
isolation,0,1,160
from,0,1,160
atmosphere,0,1,160
capture,0,1,163
technology,0,1,163
development,0,1,163
industry,0,1,163
perspective,0,1,128
achieve,0,1,128
cneutrality,0,1,128
innovation,0,1,128
100180,0,1,128
november,0,1,128
2021,0,1,128
utilization,0,1,125
into,0,1,166
other,0,1,166
highvalue,0,1,166
chemical,0,1,166
under,0,1,166
certain,0,1,166
condition,0,1,166
temperature,0,1,166
pressure,0,1,166
presence,0,1,166
catalyst,0,1,166
into,0,1,166
fuel,0,1,166
chemical,0,1,166
still,0,1,166
challenge,0,1,166
overcome,0,1,166
both,0,1,166
thermodynamic,0,1,166
kinetic,0,1,166
barrier,0,1,166
hree,0,1,100
pronged,0,1,167
approach,0,1,167
reduce,0,1,168
emission,0,1,168
stabilize,0,1,168
level,0,1,168
heattrapping,0,1,168
greenhouse,0,1,168
gase,0,1,168
atmosphere,0,1,168
geoengineering,0,1,169
deliberate,0,1,169
largescale,0,1,169
intervention,0,1,169
earth,0,1,169
natural,0,1,169
system,0,1,169
counteract,0,1,169
climate,0,1,169
change,0,1,169
adapt,0,1,170
climate,0,1,170
change,0,1,170
already,0,1,170
pipeline,0,1,170
conceptualize,0,1,172
climate,0,1,172
change,0,1,172
mitigation,0,1,172
geoengineering,0,1,172
daptation,0,1,46
mato,0,1,172
technovation,0,1,172
2022,0,1,172
102612,0,1,172
mical,0,1,112
potassium,0,1,176
even,0,1,177
capture,0,1,158
utilization,0,1,158
storage,0,1,158
fuel,0,1,177
chemical,0,1,177
also,0,1,177
promise,0,1,177
possibility,0,1,177
obstacle,0,1,177
thermodynamic,0,1,177
kinetic,0,1,177
need,0,1,177
overcome,0,1,177
sustainable,0,2,3
energy,0,2,3
eu,0,2,5
target,0,2,5
there,0,2,5
major,0,2,5
objective,0,2,5
revise,0,2,6
energy,0,2,6
efficiency,0,2,6
directive,0,2,6
energy,0,2,7
efficiency,0,2,7
first,0,2,7
2023,0,2,8
revision,0,2,8
directive,0,2,8
follow,0,2,8
proposal,0,2,8
recast,0,2,8
directive,0,2,8
energy,0,2,8
efficiency,0,2,8
forward,0,2,8
commission,0,2,8
july,0,2,8
2021,0,2,8
part,0,2,8
repower,0,2,8
eu,0,2,8
plan,0,2,8
present,0,2,8
commission,0,2,8
2023,0,2,9
revise,0,2,9
directive,0,2,9
raise,0,2,9
eu,0,2,9
energy,0,2,9
efficiency,0,2,9
target,0,2,9
make,0,2,9
bind,0,2,9
eu,0,2,9
country,0,2,9
collectively,0,2,9
ensure,0,2,9
additional,0,2,9
reduction,0,2,9
energy,0,2,9
consumption,0,2,9
2030,0,2,9
compare,0,2,9
2020,0,2,9
reference,0,2,9
scenario,0,2,9
projection,0,2,9
result,0,2,9
overall,0,2,9
eu,0,2,9
energy,0,2,9
consumption,0,2,9
2030,0,2,9
should,0,2,9
exceed,0,2,9
9925,0,2,9
million,0,2,9
equivalent,0,2,9
mtoe,0,2,9
primary,0,2,9
energy,0,2,9
mtoe,0,2,9
final,0,2,9
energy,0,2,9
revise,0,2,10
directive,0,2,10
more,0,2,10
than,0,2,10
double,0,2,10
annual,0,2,10
energy,0,2,10
save,0,2,10
obligation,0,2,10
article,0,2,10
2028,0,2,10
green,0,2,12
sustainable,0,2,12
energy,0,2,12
definition,0,2,12
sunburst,0,2,13
chart,0,2,13
show,0,2,13
share,0,2,13
different,0,2,13
type,0,2,13
fuel,0,2,13
electricity,0,2,13
generation,0,2,13
eu,0,2,13
2022,0,2,13
power,0,2,14
production,0,2,14
european,0,2,14
union,0,2,14
20202022,0,2,14
fuel,0,2,14
publish,0,2,14
statistum,0,2,14
research,0,2,14
department,0,2,14
2023,0,2,14
structure,0,2,17
renewable,0,2,17
source,0,2,17
generate,0,2,17
electricity,0,2,17
eu,0,2,17
2020,0,2,17
source,0,2,17
eurostat,0,2,17
sustainable,0,2,3
energy,0,2,3
highlight,0,2,19
above,0,2,19
theoretically,0,2,19
inexhaustible,0,2,19
other,0,2,20
hand,0,2,20
renewable,0,2,20
energy,0,2,20
source,0,2,20
like,0,2,20
bioenergy,0,2,20
biological,0,2,20
mass,0,2,20
agricultural,0,2,20
byproduct,0,2,20
like,0,2,20
straw,0,2,20
manure,0,2,20
create,0,2,20
energy,0,2,20
conversion,0,2,20
waste,0,2,20
into,0,2,20
valueadded,0,2,20
product,0,2,20
such,0,2,20
energy,0,2,20
transform,0,2,20
potential,0,2,20
environmental,0,2,20
problem,0,2,20
into,0,2,20
sustainable,0,2,20
solution,0,2,20
topic,0,2,20
energy,0,2,20
from,0,2,20
waste,0,2,20
production,0,2,20
storage,0,2,20
focuse,0,2,20
conversion,0,2,20
waste,0,2,20
from,0,2,20
variou,0,2,20
source,0,2,20
energy,0,2,20
production,0,2,20
storage,0,2,20
application,0,2,20
provide,0,2,20
stateoftheart,0,2,20
develop,0,2,20
advance,0,2,20
material,0,2,20
chemical,0,2,20
energy,0,2,20
application,0,2,20
waste,0,2,20
discus,0,2,20
variou,0,2,20
treatment,0,2,20
process,0,2,20
technology,0,2,20
present,0,2,22
overview,0,2,22
application,0,2,22
waste,0,2,22
green,0,2,22
energy,0,2,22
production,0,2,22
storage,0,2,22
provide,0,2,23
fundamental,0,2,23
electrochemical,0,2,23
behavior,0,2,23
understand,0,2,23
energy,0,2,23
device,0,2,23
such,0,2,23
fuel,0,2,23
elaborate,0,2,24
advance,0,2,24
technology,0,2,24
convert,0,2,24
waste,0,2,24
into,0,2,24
green,0,2,24
biochemical,0,2,24
energy,0,2,24
light,0,2,25
such,0,2,25
consideration,0,2,25
convert,0,2,25
food,0,2,25
agriculture,0,2,25
municipal,0,2,25
waste,0,2,25
useful,0,2,25
energy,0,2,25
become,0,2,25
reasonable,0,2,25
economic,0,2,25
topic,0,2,25
opportunity,0,2,25
apply,0,2,25
food,0,2,25
