SEQUENCE,ENCODING
fossil,2359348
fuel,2359348
future,2359348
however,2359348
require,2359348
vary,2359348
production,2359348
from,2359348
different,2359348
mean,2359348
achieve,2359348
economically,2359349
viable,2359349
there,2359355
important,2359355
benefit,2359355
renewable,2359355
energy,2359355
improve,2359356
public,2359356
health,2359356
create,2359359
local,2359359
decrease,2359361
carbon,2359361
footprint,2359361
longterm,2359364
cost,2359364
more,2359364
affordable,2359364
energy,2359366
security,2359366
economic,2359368
efficiency,2359368
european,2359383
commission,2359383
fair,2359383
transition,2359383
mechanism,2359383
finance,2359383
green,2359383
reform,2359383
climateneutral,2359383
economy,2359383
mechanism,2359383
consist,2359383
three,2359383
main,2359383
source,2359383
fund,2359383
just,2359383
transition,2359383
fund,2359383
regime,2359383
fair,2359383
transition,2359383
within,2359383
framework,2359383
invest,2359383
public,2359383
sector,2359383
lend,2359383
mechanism,2359383
cooperation,2359383
with,2359383
european,2359383
investment,2359383
bank,2359383
wind,2359340
power,2359340
case,2359387
wind,2359387
energy,2359387
most,2359387
common,2359387
widely,2359387
apply,2359387
conversion,2359387
approach,2359387
convert,2359387
wind,2359387
energy,2359387
into,2359387
electrical,2359387
energy,2359387
solar,2359353
energy,2359353
thermal,2359353
energy,2359353
heat,2359406
into,2359406
electrical,2359387
energy,2359387
thermal,2359353
energy,2359353
flatplate,2359413
collector,2359413
electricity,2359309
generation,2359309
solar,2359319
cell,2359319
photovoltaic,2359419
cell,2359419
hydropower,2359373
tidal,2359503
wave,2359503
power,2359503
move,2359367
water,2359335
from,2359504
large,2359504
lake,2359504
ocean,2359504
form,2359504
wave,2359504
produce,2359504
wind,2359504
tide,2359504
generate,2359504
electric,2359504
power,2359504
tidal,2359353
power,2359353
tidal,2359506
energy,2359506
form,2359506
power,2359506
produce,2359506
natural,2359506
rise,2359506
fall,2359506
tide,2359506
cause,2359506
gravitational,2359506
interaction,2359506
between,2359506
earth,2359506
moon,2359506
wave,2359503
power,2359503
wave,2359503
power,2359503
geothermal,2359353
energy,2359353
geothermal,2359557
resource,2359557
exhaust,2359557
rate,2359557
heat,2359557
extraction,2359557
exceed,2359557
rate,2359557
natural,2359557
heat,2359557
recharge,2359557
situation,2359563
eu,2359563
geothermal,2359564
represent,2359564
global,2359564
renewable,2359564
electricity,2359564
market,2359564
2022,2359564
generate,2359564
electricity,2359564
eu,2359564
project,2359565
call,2359565
biofuel,2359321
economic,2359600
environmental,2359600
consideration,2359600
eu,2359606
regulation,2359606
biofuel,2359606
bioga,2359606
coprocessed,2359606
fuel,2359606
sustainability,2359610
criterium,2359610
quality,2359616
standard,2359616
biofuel,2359616
type,2359620
biofuel,2359620
liquid,2359579
biofuel,2359579
ethanol,2359578
biojet,2359641
fuel,2359641
bioaviation,2359641
fuel,2359641
gaseou,2359575
biofuel,2359321
bioeconomy,2359353
green,2359353
hydrogen,2359353
first,2359658
hydrogen,2359345
produce,2359506
electrolysi,2359353
water,2359353
electricity,2359658
generate,2359658
from,2359658
renewable,2359309
source,2359301
hydrogen,2359674
economy,2359674
synonymou,2359674
with,2359674
sustainable,2359674
energy,2359674
refer,2359674
situation,2359674
whole,2359674
energy,2359674
system,2359674
country,2359674
solely,2359674
base,2359674
hydrogen,2359674
also,2359674
define,2359674
economy,2359674
hydrogen,2359674
primary,2359674
energy,2359674
carrier,2359674
along,2359674
with,2359674
electricity,2359674
hydrogen,2359680
storage,2359680
transportation,2359686
distribution,2359686
hydrogen,2359686
hydrogen,2359690
fuel,2359691
cell,2359691
vehicle,2359691
power,2359691
pure,2359691
hydrogen,2359691
consider,2359691
emissionfree,2359691
vehicle,2359691
only,2359691
byproduct,2359691
water,2359691
maintain,2359691
comparable,2359691
characteristic,2359691
term,2359691
peak,2359691
speed,2359691
range,2359691
acceleration,2359691
fuel,2359691
cell,2359691
vehicle,2359691
consider,2359691
more,2359691
efficient,2359691
than,2359691
conventional,2359691
vehicle,2359691
link,2359697
water,2359697
industry,2359697
circular,2359697
economy,2359697
perspective,2359697
crucial,2359697
green,2359697
hydrogen,2359697
production,2359697
ircular,2490374
economy,2490374
action,2490374
plan,2490374
european,2490374
green,2490374
deal,2490374
definition,2490377
model,2490381
production,2490381
consumption,2490381
involf,2490381
share,2490381
lease,2490381
reuse,2490381
repair,2490381
refurbish,2490381
recycle,2490381
exist,2490381
material,2490381
product,2490381
long,2490381
possible,2490381
life,2490381
cycle,2490381
product,2490381
extend,2490381
linear,2490383
economy,2490383
take,2490383
make,2490383
waste,2490383
more,2490383
restorative,2490383
regenerative,2490383
system,2490383
employ,2490383
reuse,2490381
share,2490381
repair,2490383
refurbishment,2490383
remanufacturing,2490383
recycle,2490381
mean,2490383
create,2490383
closedloop,2490383
system,2490383
ellen,2490383
macarthur,2490383
foundation,2490383
define,2490383
circular,2490383
economy,2490383
industrial,2490383
economy,2490383
restorative,2490383
regenerative,2490383
value,2490383
design,2490383
circular,2490388
economy,2490388
sustainability,2490388
benefit,2490409
switch,2490409
circular,2490409
economy,2490409
protect,2490410
environment,2490410
reduce,2490415
material,2490415
dependence,2490415
create,2490421
save,2490421
consumer,2490421
money,2490421
ircular,2490374
economy,2490374
action,2490374
plan,2490374
european,2490425
green,2490425
deal,2490425
2020,2490425
planet,2490427
earth,2490427
more,2490428
than,2490428
necessary,2490428
regenerative,2490428
growth,2490428
model,2490428
gife,2490428
back,2490428
planet,2490428
more,2490428
than,2490428
take,2490428
keep,2490428
resource,2490428
consumption,2490428
within,2490428
planetary,2490428
boundary,2490428
reduce,2490428
consumption,2490428
footprint,2490428
double,2490428
circular,2490428
material,2490428
rate,2490428
come,2490428
decade,2490428
circular,2490429
economy,2490429
action,2490429
plan,2490429
product,2490429
policy,2490429
framework,2490429
will,2490429
make,2490429
sustainable,2490429
product,2490429
service,2490429
busines,2490429
model,2490429
norm,2490429
transform,2490429
consumption,2490429
pattern,2490429
waste,2490429
produce,2490429
first,2490429
place,2490429
sustainable,2490429
product,2490429
policy,2490429
framework,2490429
reduce,2490382
waste,2490382
wellfunctioning,2490429
internal,2490429
market,2490429
quality,2490429
secondary,2490429
material,2490429
main,2490431
need,2490431
action,2490431
design,2490432
sustainable,2490432
product,2490432
make,2490433
product,2490433
climateneutral,2490433
resourceefficient,2490433
circular,2490433
economy,2490433
sustainable,2490433
product,2490433
policy,2490433
legislative,2490433
initiative,2490433
core,2490434
legislative,2490434
make,2490434
design,2490434
framework,2490434
applicable,2490434
broad,2490434
possible,2490434
range,2490434
product,2490434
make,2490434
deliver,2490434
circularity,2490434
sustainability,2490435
principle,2490435
durability,2490436
reusability,2490436
upgradability,2490436
reparability,2490436
hazardou,2490437
chemical,2490437
energy,2490437
resource,2490437
efficiency,2490437
recycle,2490438
content,2490438
product,2490438
remanufacturing,2490383
highquality,2490439
recycle,2490439
carbon,2490440
environmental,2490440
footprint,2490440
singleuse,2490441
premature,2490441
obsolescence,2490441
destruction,2490442
unsold,2490442
durable,2490442
good,2490442
productasaservice,2490443
producer,2490443
keep,2490443
ownership,2490443
product,2490443
digitalization,2490444
digital,2490444
passport,2490444
watermark,2490444
different,2490445
sustainability,2490445
performance,2490445
priority,2490446
will,2490446
give,2490446
address,2490446
product,2490446
group,2490446
identify,2490446
context,2490446
value,2490446
chain,2490446
feature,2490446
action,2490446
plan,2490446
such,2490446
electronic,2490446
textile,2490446
furniture,2490446
impact,2490446
intermediary,2490446
product,2490446
effective,2490449
efficient,2490449
application,2490449
european,2490450
dataspace,2490450
smart,2490450
circular,2490450
application,2490449
with,2490389
consumer,2490452
receive,2490452
trustworthy,2490452
relevant,2490452
information,2490452
product,2490452
point,2490452
sale,2490452
lifespan,2490452
availability,2490452
repair,2490452
service,2490452
spare,2490452
part,2490452
repair,2490452
manual,2490452
industrial,2490455
emission,2490455
directive,2490455
industryled,2490456
report,2490456
certification,2490456
system,2490456
sustainable,2490457
circular,2490457
biobased,2490457
sector,2490457
digital,2490458
technology,2490458
track,2490458
trace,2490458
resource,2490383
register,2490459
eu,2490459
environmental,2490459
technology,2490459
verification,2490459
scheme,2490459
educe,2490465
overpackaging,2490465
package,2490465
waste,2490465
design,2490466
reuse,2490466
recyclability,2490466
package,2490466
plastic,2490467
eu,2490468
strategy,2490468
plastic,2490468
circular,2490468
economy,2490468
source,2490468
label,2490468
biobased,2490468
plastic,2490468
biodegradable,2490469
compostable,2490469
plastic,2490469
sort,2490470
reuse,2490470
recycle,2490470
textile,2490470
innovation,2490393
construction,2490472
product,2490472
regulation,2490472
recycle,2490472
content,2490472
requirement,2490472
presence,2490477
substance,2490477
pose,2490477
environment,2490477
recycle,2490477
material,2490477
article,2490477
make,2490477
thereof,2490477
european,2490479
urban,2490479
initiative,2490479
intelligent,2490479
city,2490479
challenge,2490479
initiative,2490479
circular,2490479
city,2490479
region,2490479
initiative,2490479
green,2490479
city,2490479
accord,2490479
circular,2490379
busines,2490379
model,2490379
circular,2490507
economy,2490507
implementation,2490507
eu,2490507
biobased,2490517
economy,2490517
bioeconomy,2490517
bioeconomy,2490518
mean,2490518
renewable,2490518
biological,2490518
resource,2490518
from,2490518
land,2490518
like,2490518
crop,2490518
forest,2490518
fish,2490518
animal,2490518
microorganism,2490518
produce,2490518
food,2490518
material,2490518
energy,2490518
biobased,2490517
economy,2490517
bioeconomy,2490457
biotechonomy,2490519
application,2490528
agricultural,2490577
product,2490577
divide,2490577
into,2490577
three,2490577
major,2490577
sector,2490577
seed,2490577
agro,2490577
product,2490577
instead,2490577
agro,2490577
chemical,2490577
fertilizer,2490577
circular,2490589
bioeconomy,2490589
circular,2490597
bioeconomy,2490597
focuse,2490597
sustainable,2490597
resourceefficient,2490597
valorization,2490597
biomas,2490597
integrate,2490597
multioutput,2490597
production,2490597
chain,2490597
biorefinery,2490597
also,2490597
make,2490597
residue,2490597
waste,2490597
optimize,2490597
value,2490597
biomas,2490597
over,2490597
time,2490597
vium,2490597
cascade,2490597
such,2490597
optimization,2490597
focu,2490597
economic,2490597
environmental,2490597
social,2490597
aspect,2490597
ideally,2490597
consider,2490597
three,2490597
pillar,2490597
sustainability,2490597
cascade,2490597
step,2490597
retain,2490597
resource,2490597
quality,2490597
adhere,2490597
biobased,2490597
value,2490597
pyramid,2490597
inclusive,2490608
european,2490608
economic,2490608
political,2490608
societal,2490608
project,2490608
urgently,2490608
need,2490608
shift,2490609
circular,2490609
biobased,2490609
economic,2490609
paradigm,2490609
should,2490609
longterm,2490609
strategy,2490609
decouple,2490609
economic,2490609
growth,2490609
from,2490609
environmental,2490609
degradation,2490609
ecommendation,2490610
european,2490610
circular,2490610
bioeconomy,2490610
development,2490610
refine,2490621
solid,2490621
waste,2490621
product,2490621
energy,2490621
core,2490622
specific,2490622
technological,2490622
operation,2490622
characteristic,2490622
circular,2490622
bioeconomy,2490622
waste,2490622
cascade,2490622
principle,2490622
biomas,2490622
biorefining,2490622
biorefining,2490623
concept,2490623
example,2490633
integrate,2490633
biorefinery,2490633
biomas,2490633
waste,2490633
world,2490639
most,2490639
advance,2490639
sustainable,2490639
biorefinery,2490639
partner,2490645
involve,2490645
industry,2490393
research,2490405
organisation,2490647
university,2490647
sustainable,2621442
agriculture,2621442
ensure,2621445
food,2621445
security,2621445
face,2621445
geopolitical,2621445
uncertainty,2621445
climate,2621445
change,2621445
biodiversity,2621445
reduce,2621446
environmental,2621446
climate,2621446
footprint,2621446
eu,2621446
food,2621446
system,2621446
lead,2621448
global,2621448
transition,2621448
toward,2621448
competitive,2621448
sustainability,2621448
from,2621448
farm,2621448
fork,2621448
green,2621450
sustainable,2621450
agriculture,2621450
define,2621450
desire,2621450
type,2621450
agricultural,2621450
activity,2621450
supply,2621450
society,2621450
food,2621450
textile,2621450
need,2621450
present,2621450
without,2621450
compromise,2621450
ability,2621450
future,2621450
generation,2621450
meet,2621450
their,2621450
need,2621450
capcommon,2621453
agriculture,2621453
policy,2621453
biodiversity,2621454
strategy,2621454
economic,2621463
sustainability,2621463
environmental,2621463
sustainability,2621463
social,2621463
sustainability,2621463
farm,2621463
main,2621464
objective,2621464
improvement,2621487
exist,2621487
requirement,2621487
compatibility,2621490
with,2621490
green,2621490
deal,2621490
adapt,2621497
apply,2621497
research,2621497
grind,2621497
common,2621498
agricultural,2621498
policy,2621498
202327,2621498
direction,2621509
action,2621509
strong,2621510
position,2621510
farmer,2621510
marketplace,2621510
improve,2621511
rule,2621511
competition,2621511
social,2621451
conditionality,2621494
improve,2621513
knowledge,2621513
base,2621513
comprehensive,2621514
strategic,2621514
approach,2621514
billion,2621517
research,2621517
innovation,2621517
level,2621518
resource,2621518
directly,2621518
mediumsized,2621518
farm,2621518
supplement,2621519
income,2621519
support,2621519
farm,2621519
area,2621519
with,2621519
natural,2621519
other,2621519
constraint,2621519
emission,2621520
extensive,2621521
livestock,2621521
system,2621521
need,2621521
reduce,2621521
livestockrelated,2621521
emission,2621521
support,2621521
investment,2621521
genetic,2621521
improvement,2621521
sustainable,2621522
energy,2621522
production,2621522
will,2621523
have,2621523
reinforce,2621523
good,2621523
integrate,2621523
support,2621523
organic,2621523
farm,2621523
contribute,2621524
increase,2621524
presence,2621524
diversity,2621524
landscape,2621524
feature,2621524
target,2621524
agricultural,2621524
land,2621524
2030,2621524
obligation,2621488
least,2621524
arable,2621524
land,2621524
some,2621525
contribution,2621525
toward,2621525
target,2621525
stem,2621525
from,2621525
eu,2621525
habitat,2621525
bird,2621525
directive,2621525
grassland,2621525
protect,2621525
expand,2621525
voluntary,2621525
measure,2621525
natura,2621525
2000,2621525
area,2621525
about,2621527
sustainable,2621527
pesticide,2621527
farm,2621546
fork,2621546
strategy,2621546
reduce,2621547
dependency,2621547
pesticide,2621547
antimicrobial,2621547
ation,2621547
increase,2621547
organic,2621547
farm,2621547
improve,2621547
animal,2621547
welfare,2621547
reverse,2621478
biodiversity,2621478
raise,2621549
standard,2621549
globally,2621549
environmental,2621446
climate,2621446
footprint,2621446
resilience,2621447
global,2621448
transition,2621448
opportunity,2621550
neutral,2621552
positive,2621552
environmental,2621552
impact,2621552
acces,2621486
sufficient,2621553
nutritiou,2621553
sustainable,2621553
food,2621553
most,2621554
sustainable,2621554
food,2621554
also,2621554
become,2621554
most,2621554
affordable,2621554
main,2621557
action,2621557
ensure,2621558
sustainable,2621558
food,2621558
production,2621558
circular,2621560
biobased,2621560
economy,2621560
renewable,2621561
energy,2621561
integrate,2621543
pest,2621543
management,2621543
integrate,2621564
nutrient,2621564
management,2621564
action,2621564
plan,2621564
seed,2621567
security,2621567
diversity,2621567
organic,2621568
farm,2621568
sustainable,2621570
fish,2621570
seafood,2621570
production,2621570
farm,2621571
fish,2621571
seafood,2621571
ensure,2621445
food,2621445
security,2621445
common,2621574
european,2621574
response,2621574
crisis,2621574
affect,2621574
food,2621574
system,2621574
contingency,2621575
plan,2621575
ensure,2621575
food,2621575
supply,2621575
food,2621575
security,2621575
place,2621575
time,2621575
crisi,2621575
eu,2621576
code,2621576
conduct,2621576
responsible,2621576
busines,2621576
market,2621576
practice,2621576
food,2621578
package,2621578
availability,2621579
price,2621579
green,2621583
alliance,2621583
international,2621583
standard,2621583
body,2621583
multilateral,2621583
forum,2621583
international,2621583
event,2621583
sustainable,2621586
agriculture,2621586
procedure,2621586
permaculture,2621592
biodynamic,2621595
farm,2621595
urban,2621597
agriculture,2621597
ponic,2621599
forestry,2621601
food,2621601
forest,2621601
polyculture,2621606
crop,2621606
rotation,2621606
grow,2621608
heirloom,2621608
variety,2621608
natural,2621610
animal,2621610
rise,2621610
mulch,2621612
groundcover,2621612
manual,2621612
weed,2621612
control,2621612
natural,2621614
pest,2621614
management,2621614
these,2621618
technique,2621618
define,2621618
component,2621618
organic,2621494
farm,2621494
organic,2621494
farm,2621494
organic,2621622
farm,2621622
procedure,2621622
certify,2621623
organic,2621623
farm,2621623
eu,2621629
organic,2621629
farm,2621629
action,2621629
plan,2621629
focu,2621638
research,2621638
innovation,2621638
stimulate,2621634
demand,2621634
ensure,2621634
consumer,2621634
trust,2621634
stimulate,2621635
conversion,2621635
reinforce,2621635
entire,2621635
value,2621635
chain,2621635
organic,2621655
lead,2621655
example,2621655
improve,2621655
contribution,2621655
organic,2621655
farm,2621655
sustainability,2621655
ough,2621662
pyrolytic,2621662
degradation,2621662
biomas,2621662
role,2621665
biofertilizer,2621665
green,2621665
sustainable,2621665
agriculture,2621665
biological,2621667
activity,2621667
global,2621669
biofertilizer,2621669
market,2621669
under,2621669
major,2621669
category,2621669
like,2621669
organic,2621669
residuebased,2621669
biofertilizer,2621669
microorganism,2621669
base,2621669
biofertilizer,2621669
compost,2621596
role,2621678
genetic,2621678
engineer,2621678
plant,2621678
genetic,2621679
modification,2621679
crop,2621679
substantially,2621679
focus,2621679
improve,2621679
trait,2621679
desirable,2621679
outcome,2621679
result,2621679
development,2621679
crop,2621679
with,2621679
enhance,2621679
yield,2621679
quality,2621679
tolerance,2621679
biotic,2621679
abiotic,2621679
stress,2621679
eu,2752516
biodiversity,2752516
strategy,2752516
2030,2752516
20052020,2752516
bring,2752517
nature,2752517
back,2752517
into,2752517
life,2752517
commitment,2752519
2030,2752519
area,2752520
integrate,2752520
ecological,2752520
corridor,2752520
part,2752520
true,2752520
transeuropean,2752520
nature,2752520
network,2752520
effectively,2752522
manage,2752522
protect,2752522
area,2752522
define,2752522
clear,2752522
conservation,2752522
objective,2752522
measure,2752522
monitor,2752522
them,2752522
appropriately,2752522
biodiversity,2752524
diversity,2752524
life,2752524
earth,2752524
gene,2752524
specie,2752524
ecosystem,2752524
addition,2752524
intrinsic,2752524
value,2752524
underpin,2752524
ecosystem,2752524
service,2752524
sustain,2752524
life,2752524
multiple,2752524
they,2752524
provide,2752524
food,2752524
water,2752524
medicine,2752524
ensure,2752524
soil,2752524
water,2752524
regulation,2752524
pollination,2752524
erosion,2752524
flood,2752524
control,2752524
disease,2752524
control,2752524
carbon,2752524
storage,2752524
biodiversity,2752524
indispensable,2752524
climate,2752524
change,2752524
mitigation,2752524
adaptation,2752524
maintain,2752524
human,2752524
health,2752524
also,2752524
enhance,2752524
recreational,2752524
activity,2752524
creative,2752524
inspiration,2752524
cultural,2752524
heritage,2752524
rotection,2752525
measure,2752525
restoration,2752526
main,2752527
direct,2752527
driver,2752527
biodiversity,2752527
boost,2752528
resilience,2752528
prevent,2752528
emergence,2752528
spread,2752528
future,2752528
disease,2752528
natural,2752528
capital,2752528
investment,2752528
nature,2752528
state,2752528
crisi,2752528
biodiversity,2752529
ecosystem,2752529
collapse,2752529
threat,2752529
face,2752529
humanity,2752529
next,2752529
decade,2752529
biodiversity,2752530
strategy,2752530
2030,2752530
revolf,2752530
around,2752530
three,2752530
pillar,2752530
protect,2752530
restore,2752530
nature,2752530
eu,2752530
consolidate,2752530
coherent,2752530
effective,2752530
network,2752530
restore,2752530
degrade,2752530
habitat,2752530
enable,2752530
governance,2752530
framework,2752530
ensure,2752530
coresponsibility,2752530
coownership,2752530
relevant,2752530
actor,2752530
meet,2752530
biodiversity,2752530
commitment,2752530
include,2752530
financial,2752530
opportunity,2752530
iius,2752530
adopt,2752530
global,2752530
biodiversity,2752530
agenda,2752530
europe,2752531
biodiversity,2752531
will,2752531
path,2752531
recovery,2752531
2030,2752531
widen,2752531
network,2752531
protect,2752531
area,2752531
eu,2752531
nature,2752531
restoration,2752531
plan,2752531
coherent,2752531
transeuropean,2752531
nature,2752531
network,2752531
least,2752537
land,2752537
should,2752537
protect,2752537
eu,2752537
natura,2752537
2000,2752537
network,2752537
ecological,2752520
corridor,2752520
eu,2752540
nature,2752540
restoration,2752540
plan,2752540
eu,2752541
nature,2752541
restoration,2752541
target,2752541
deterioration,2752542
conservation,2752542
trend,2752542
statu,2752542
transition,2752544
fully,2752544
sustainable,2752544
practice,2752544
farm,2752544
fork,2752544
strategy,2752544
common,2752544
agricultural,2752544
policy,2752544
genetic,2752544
diversity,2752544
protect,2752546
soil,2752546
fertility,2752546
reduce,2752546
soil,2752546
erosion,2752546
increase,2752546
soil,2752546
organic,2752546
matter,2752546
eu,2752548
must,2752548
increase,2752548
quantity,2752548
quality,2752548
resilience,2752548
forest,2752548
eu,2752548
forest,2752548
strategy,2752548
plant,2752548
least,2752548
billion,2752548
additional,2752548
tree,2752548
eu,2752548
2030,2752548
sustainability,2752553
criterium,2752553
forest,2752553
biomas,2752553
energy,2752552
restore,2752555
properly,2752555
protect,2752555
marine,2752555
ecosystem,2752555
will,2752531
marine,2752555
resource,2752555
must,2752555
harvest,2752555
sustainably,2752555
there,2752555
must,2752555
zerotolerance,2752555
illegal,2752555
practice,2752555
least,2752557
25000,2752557
river,2752557
will,2752557
restore,2752557
into,2752557
freeflowing,2752557
river,2752557
2030,2752557
bring,2752559
nature,2752559
back,2752559
city,2752559
reward,2752559
community,2752559
action,2752559
commission,2752559
call,2752559
european,2752559
city,2752559
least,2752559
20000,2752559
inhabitant,2752559
develop,2752559
ambitiou,2752559
urban,2752559
green,2752559
plan,2752559
zero,2752561
pollution,2752561
action,2752561
plan,2752561
water,2752561
soil,2752561
reduction,2752561
fertilizer,2752561
least,2752561
eu,2752563
invasive,2752563
alien,2752563
specie,2752563
regulation,2752563
decrease,2752563
number,2752563
list,2752563
specie,2752563
they,2752563
threaten,2752563
eu,2752568
nature,2752568
restoration,2752568
plan,2752568
commitment,2752568
2030,2752568
governance,2752530
framework,2752530
clear,2752587
agree,2752587
indicator,2752587
step,2752588
implementation,2752588
enforcement,2752588
eu,2752588
environmental,2752588
legislation,2752588
complete,2752537
natura,2752537
2000,2752537
network,2752537
build,2752590
integrate,2752590
wholeofsociety,2752590
approach,2752590
european,2752592
busines,2752592
biodiversity,2752592
should,2752594
unlock,2752594
spend,2752594
nature,2752594
ation,2752522
skill,2752598
agenda,2752598
will,2752598
play,2752598
role,2752598
transition,2752598
green,2752598
economy,2752598
fight,2752598
against,2752598
biodiversity,2752598
longterm,2752598
strategic,2752598
research,2752598
agenda,2752598
biodiversity,2752598
uropean,2752520
nion,2752600
ambitiou,2752600
global,2752600
biodiversity,2752600
agenda,2752600
ecosystem,2752529
restore,2752529
resilient,2752529
adequately,2752529
protect,2752529
enable,2752604
framework,2752604
fair,2752605
equitable,2752605
share,2752605
benefit,2752605
principle,2752606
equality,2752606
international,2752607
cooperation,2752607
development,2752613
need,2752613
effective,2752613
biodiversity,2752613
conservation,2752613
opportunity,2752658
conserve,2752658
restore,2752658
biodiversity,2752658
agrifood,2752658
system,2752658
through,2752658
bioeconomy,2752658
practice,2752658
bioeconomy,2752663
model,2752663
support,2752663
biodiversity,2752663
bioeconomy,2752667
embrace,2752667
different,2752667
biobased,2752667
value,2752667
chain,2752667
economic,2752667
activity,2752667
highly,2752667
depend,2752667
biodiversity,2752667
ecosystem,2752667
service,2752667
therefore,2752667
biodiversity,2752667
conservation,2752667
protection,2752667
sustainable,2752667
regeneration,2752667
well,2752667
ecosystem,2752667
health,2752667
essential,2752667
component,2752667
successful,2752667
bioeconomy,2752667
strategy,2752667
policy,2752667
grid,2752687
cell,2752687
within,2752687
romanian,2752687
terrestrial,2752687
natura,2752687
2000,2752687
network,2752687
zero,2883588
pollution,2883588
zeropollution,2883591
vision,2883591
2050,2883591
healthy,2883591
planet,2883591
water,2883592
soil,2883592
pollution,2883592
reduce,2883592
level,2883592
long,2883592
consider,2883592
harmful,2883592
health,2883592
natural,2883592
ecosystem,2883592
respect,2883592
boundary,2883592
planet,2883592
cope,2883592
with,2883592
create,2883592
toxicfree,2883592
environment,2883592
zeropollution,2883591
ambition,2883592
crosscut,2883592
objective,2883592
contribute,2883592
complement,2883592
2050,2883592
climateneutrality,2883592
goal,2883592
synergy,2883592
with,2883592
clean,2883592
circular,2883592
economy,2883592
restore,2883592
biodiversity,2883592
goal,2883592
zero,2883593
pollution,2883593
target,2883593
2030,2883593
